seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Jared,Adkins,24,Surec Way,Wisolij,IA,68013,$615.71,GREEN,05/01/1956
2,Ruth,Mendez,23,Rema Point,Amjori,NY,10866,$8156.03,WHITE,06/16/1990
3,Frank,Simmons,62,Medes Pike,Bujdazow,LA,88301,$5373.59,RED,09/16/2056
4,Roger,Ballard,47,Jibbaw Lane,Gugoslu,KS,93969,$436.89,GREEN,10/29/1978
5,Owen,Lyons,62,Seme Court,Wihohzob,PA,78824,$3687.76,WHITE,09/13/1939
6,Evelyn,Christensen,25,Gedvez Parkway,Diridot,MI,44562,$3689.13,GREEN,01/21/1926
7,Eugenia,Cole,42,Nigi Junction,Wirigmaz,CA,64945,$7082.34,YELLOW,12/10/1976
8,Francisco,Valdez,58,Ejjo Avenue,Wouhwut,MD,33070,$7626.86,YELLOW,12/13/1956
9,Ronnie,Yates,57,Mocmad Glen,Taboode,IA,90358,$4634.02,WHITE,06/28/2065
10,Shane,Tyler,20,Liho Street,Dalijikow,OR,23568,$8779.77,YELLOW,01/02/1992
11,Josie,Douglas,43,Nova Junction,Refaconih,AZ,24508,$5530.91,RED,06/05/1980
12,Lula,Moran,23,Sawun Ridge,Bonabpu,IN,85111,$258.60,RED,02/23/2045
13,Emily,Thompson,57,Omte Terrace,Urizakiz,VA,59308,$1951.95,BLUE,01/24/1914
14,Thomas,Mason,28,Ujnin Lane,Ticnuje,CT,38554,$1764.85,WHITE,07/12/1909
15,Flora,Brady,57,Cobge Ridge,Dajoemu,SC,04459,$679.48,GREEN,11/30/1971
16,Jon,Underwood,33,Acteh Center,Vajutapoc,DC,50426,$7473.45,YELLOW,10/25/2008
17,Justin,Rogers,25,Vuma Drive,Uwosece,NJ,73857,$5396.56,WHITE,10/17/2065
18,Maud,Maxwell,48,Werhi Glen,Gosgefa,NV,86591,$1335.91,RED,04/01/1996
19,Jesse,Byrd,59,Evzo Path,Tuduofe,NM,46381,$3396.92,WHITE,07/05/2031
20,Lucy,Carr,38,Gojjab Plaza,Kuvverew,AL,04211,$9374.88,WHITE,03/10/1911
21,Jeremy,Webster,19,Vigapa Street,Wamohisi,NC,37153,$7190.39,WHITE,01/07/1920
22,Theodore,Shelton,36,Fifa Pass,Gulbonpe,LA,66211,$3982.84,GREEN,03/25/1983
23,Brian,Todd,26,Cewba Plaza,Bindawacu,CT,02955,$2818.28,RED,01/11/2058
24,Lewis,Bush,41,Degve River,Cifnogbud,ME,00206,$132.87,WHITE,01/14/1976
25,Della,Reid,38,Efizom Place,Hanzebo,KS,96908,$7825.33,RED,03/22/1916
26,Alvin,Evans,36,Asihed Heights,Ramorfef,NC,18541,$5670.09,YELLOW,09/12/1919
27,Linnie,Delgado,32,Viawu Center,Bampomtol,MN,78937,$7574.60,BLUE,12/13/2005
28,Dominic,Rowe,39,Rekmo Plaza,Okzijed,ND,28109,$168.44,WHITE,05/25/1965
29,Michael,Becker,28,Wihheh River,Bozibfub,MD,72507,$7425.39,GREEN,07/01/1999
30,Sally,Ramsey,40,Azucar Park,Mumginges,MI,52027,$1055.50,GREEN,05/13/1911
31,Joseph,Wells,59,Hibtes Road,Goghubi,VT,68472,$4345.05,WHITE,04/19/1973
32,Matilda,Leonard,24,Tiho Loop,Mugahla,RI,01790,$2313.74,WHITE,03/01/2025
33,Lydia,Klein,19,Epofe Trail,Hofhupan,RI,10488,$3587.82,WHITE,04/20/1946
34,Belle,Sharp,55,Ufaudo Lane,Ofhurjor,LA,69584,$4314.80,YELLOW,11/10/1934
35,Olive,Welch,46,Pitoj Plaza,Pudoir,IL,16617,$4604.08,GREEN,02/25/2054
36,Maude,Greene,57,Offaj Parkway,Liwvodom,CA,75256,$7508.03,GREEN,06/24/1939
37,Amy,Lawrence,33,Pezog Circle,Agoejfo,NC,36823,$9100.19,YELLOW,04/04/2043
38,Don,Hayes,19,Ilimu Loop,Rebtavkok,IA,12443,$7044.03,GREEN,09/17/1913
39,Kenneth,Hudson,27,Copim Manor,Cowluwgur,MN,14365,$2808.74,BLUE,05/10/1946
40,Charlie,Harmon,47,Ohesu Avenue,Inawasi,OK,48750,$2241.73,BLUE,04/11/2011
41,Billy,Cross,34,Bovaca Junction,Veveura,NY,15685,$9351.06,GREEN,03/08/1997
42,Ethan,Fletcher,27,Curju Court,Lirmedsit,TX,04226,$3072.02,RED,09/19/1939
43,Polly,Turner,40,Ilun Heights,Jolpavowu,ID,37683,$3119.12,BLUE,08/09/1950
44,Sadie,Santiago,63,Nemam Lane,Agbolji,SC,70624,$209.94,WHITE,03/26/1949
45,Roger,Watkins,57,Defwos Path,Mohuguro,SD,29709,$3341.62,YELLOW,10/23/2008
46,Lucinda,Briggs,36,Woob Extension,Mebaec,OK,14282,$8922.67,YELLOW,08/28/2055
47,Leah,Black,61,Dohic Point,Cernira,SD,30706,$1298.67,RED,07/03/1945
48,Rosa,Schneider,47,Bigud Boulevard,Ifeveljad,NY,04499,$9341.84,WHITE,08/12/2054
49,Maude,McLaughlin,61,Ohapu Terrace,Nehmobid,TX,89136,$6536.83,RED,10/29/1911
50,Ernest,Buchanan,49,Koffid Turnpike,Kegupo,WA,38712,$8285.79,YELLOW,01/10/2070
51,Roger,Ortiz,26,Jewvi Parkway,Ziimise,RI,11210,$1432.17,WHITE,10/05/1982
52,Marie,Patrick,40,Jewtoh Ridge,Lelabnis,NH,13651,$7888.72,YELLOW,04/23/1920
53,Augusta,Lawrence,50,Leez Boulevard,Ciolpi,GA,12811,$711.18,YELLOW,10/11/1932
54,Rena,McDonald,51,Kena Place,Macohna,FL,37384,$8286.68,WHITE,01/30/1947
55,Edward,Griffith,43,Gujow Drive,Awiraftu,HI,13021,$8249.80,WHITE,07/19/1920
56,Donald,Underwood,37,Luver Path,Savuac,IL,37873,$4733.37,WHITE,01/29/2006
57,Mae,Poole,25,Jiike Way,Cewubiti,SC,63720,$5799.54,GREEN,04/23/1909
58,Jay,Garza,60,Urate Avenue,Howlishej,GA,48384,$7547.50,GREEN,02/28/1948
59,Bryan,Rogers,26,Piaku Extension,Ejhiob,FL,85703,$8352.77,WHITE,06/25/1905
60,Virginia,Walker,24,Zaas Extension,Uppauk,MD,66753,$4878.38,BLUE,09/03/2059
61,Charlie,Wong,62,Mecad Junction,Vatjipof,SC,92956,$2021.26,BLUE,07/19/2000
62,Ethel,Thomas,28,Waan River,Kasola,AL,19075,$6573.68,YELLOW,12/01/2017
63,Olivia,Larson,38,Vegum Loop,Ucujipze,DE,02044,$883.91,BLUE,05/10/1920
64,Lora,Bell,29,Zedig Parkway,Disdapsis,IN,30963,$8804.24,BLUE,03/03/2040
65,Tyler,Holland,52,Vevvo Heights,Esukojzih,RI,77433,$8099.75,RED,04/30/1908
66,Elva,Tyler,58,Botu Center,Lilkalli,MO,30742,$5955.25,BLUE,03/03/1913
67,Maurice,Estrada,25,Iwamik Avenue,Hanjotma,ND,12796,$9680.66,RED,03/30/1928
68,Gertrude,McLaughlin,44,Ireod Square,Zegurwug,ID,58525,$8311.59,WHITE,05/12/2061
69,Olga,Nash,21,Ruput Street,Fadikzuz,AR,09426,$8675.24,WHITE,12/20/2042
70,Glenn,Blair,64,Joar Trail,Mihedep,ND,18137,$1483.60,BLUE,07/17/2015
71,Vernon,Luna,59,Kindaj Path,Hisuni,TN,99839,$8498.85,BLUE,07/05/1990
72,Herman,Thompson,63,Ileg Mill,Cicemzih,PA,46108,$6030.89,GREEN,01/15/1994
